                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.2671,                0.88936,                 1.2124,                0.79861,                 0.8294,                0.84729,                0.52498,                 1.2836,                0.90318,                 1.1932,              0.0010417,              0.0010417,              0.0010417
                     65,                  1.318,                0.92283,                 1.2061,                0.86408,                0.81569,                0.87817,                0.53034,                 1.4171,                0.89409,                  1.224,              0.0010406,              0.0010406,              0.0010406
                     66,                 1.3083,                0.94452,                 1.2023,                0.85672,                0.85789,                0.87314,                0.52686,                 1.3594,                0.87134,                 1.1842,              0.0010395,              0.0010395,              0.0010395
                     67,                  1.338,                0.97321,                 1.2207,                0.80483,                0.78613,                0.84868,                0.50064,                 1.4273,                0.99432,                 1.2066,              0.0010384,              0.0010384,              0.0010384
                     68,                 1.2695,                0.87249,                 1.1588,                0.88498,                0.77822,                0.84886,                0.52513,                 1.3388,                0.96445,                 1.1749,              0.0010373,              0.0010373,              0.0010373
                     69,                 1.2389,                 0.9245,                 1.1736,                0.89158,                0.68539,                0.84748,                0.50911,                 1.3656,                 1.1474,                 1.1729,              0.0010362,              0.0010362,              0.0010362
                     70,                 1.2506,                0.91086,                 1.1678,                0.81816,                0.80104,                0.84214,                0.51914,                 1.3368,                0.94507,                 1.1977,              0.0010351,              0.0010351,              0.0010351
                     71,                 1.2557,                 0.9129,                 1.2219,                0.91521,                0.78079,                0.84837,                0.56093,                 1.3695,                0.87887,                 1.2149,               0.001034,               0.001034,               0.001034
                     72,                 1.2278,                0.88358,                 1.1571,                0.83968,                0.74729,                0.80477,                0.46621,                 1.3659,                0.92716,                  1.221,              0.0010329,              0.0010329,              0.0010329
                     73,                  1.303,                0.87903,                 1.2123,                0.88289,                0.76975,                0.83369,                0.50204,                 1.4424,                0.96063,                 1.2427,              0.0010318,              0.0010318,              0.0010318
                     74,                 1.2772,                0.86207,                 1.1885,                0.88288,                0.77623,                0.85621,                0.53617,                 1.3552,                 0.9383,                 1.2362,              0.0010307,              0.0010307,              0.0010307
                     75,                 1.2539,                0.87454,                 1.1913,                0.91023,                0.79128,                 0.8551,                0.54641,                 1.3524,                0.85149,                 1.2125,              0.0010296,              0.0010296,              0.0010296
                     76,                 1.2572,                0.85486,                 1.1543,                 0.9242,                0.83895,                0.89456,                0.56428,                 1.3323,                0.84179,                 1.1984,              0.0010285,              0.0010285,              0.0010285
                     77,                 1.2067,                 0.8319,                 1.1727,                0.87099,                0.77105,                0.87691,                0.54447,                 1.3774,                0.99864,                 1.2061,              0.0010274,              0.0010274,              0.0010274
