                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    128,                 1.2431,                0.81868,                 1.1518,                0.89449,                0.77117,                0.85515,                0.51667,                 1.3002,                 0.8444,                 1.1667,             0.00097131,             0.00097131,             0.00097131
                    129,                 1.1759,                0.82962,                 1.1437,                0.88308,                0.74591,                0.81374,                0.48612,                 1.2595,                0.88267,                 1.1715,             0.00097021,             0.00097021,             0.00097021
                    130,                 1.2209,                0.85216,                 1.1399,                0.90393,                0.78605,                0.83525,                0.50709,                 1.2275,                0.82209,                 1.1373,             0.00096911,             0.00096911,             0.00096911
                    131,                 1.1703,                0.80232,                 1.1428,                0.86733,                 0.7408,                0.82653,                0.49742,                 1.2878,                 0.8957,                  1.158,             0.00096801,             0.00096801,             0.00096801
                    132,                  1.185,                0.79375,                 1.1373,                0.86325,                0.75938,                 0.8641,                 0.5265,                 1.2787,                0.85791,                 1.1557,             0.00096691,             0.00096691,             0.00096691
                    133,                 1.1983,                0.80197,                 1.1309,                0.84862,                0.74214,                0.83502,                0.52604,                 1.1462,                0.82338,                 1.1167,             0.00096581,             0.00096581,             0.00096581
                    134,                 1.1752,                0.78968,                 1.1366,                0.95925,                0.75925,                0.87398,                0.54365,                 1.2658,                0.79464,                 1.1195,             0.00096471,             0.00096471,             0.00096471
                    135,                 1.1702,                0.81181,                 1.1351,                0.91252,                0.78913,                 0.8605,                0.52781,                 1.2369,                0.82165,                 1.1195,             0.00096361,             0.00096361,             0.00096361
                    136,                 1.1432,                0.79019,                 1.0946,                 0.9107,                0.77991,                0.87349,                0.55378,                 1.2146,                0.78303,                 1.1171,             0.00096251,             0.00096251,             0.00096251
                    137,                 1.1596,                0.77117,                 1.1138,                0.88264,                0.78831,                0.85153,                0.53305,                 1.2632,                0.80231,                 1.1267,             0.00096141,             0.00096141,             0.00096141
