                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 1.1206,                0.70118,                 1.1122,                0.92404,                 0.8231,                0.89837,                0.56436,                 1.2896,                0.74683,                 1.2952,              0.0010659,              0.0010659,              0.0010659
                     84,                  1.106,                0.71984,                 1.0948,                0.85888,                0.85052,                0.86663,                0.52736,                  1.327,                0.84443,                 1.2839,              0.0010654,              0.0010654,              0.0010654
                     85,                   1.18,                0.75864,                 1.1162,                0.88314,                0.85357,                0.89535,                0.52854,                 1.4194,                0.88963,                 1.3249,              0.0010648,              0.0010648,              0.0010648
                     86,                 1.1469,                0.74288,                 1.1065,                0.93883,                0.81115,                0.89847,                0.58992,                 1.2646,                0.88426,                 1.2712,              0.0010643,              0.0010643,              0.0010643
                     87,                 1.0784,                0.70129,                 1.0877,                0.92305,                0.84048,                0.88075,                 0.5514,                 1.2782,                0.89439,                 1.2875,              0.0010637,              0.0010637,              0.0010637
                     88,                 1.1116,                0.76627,                 1.1296,                0.90215,                0.85492,                0.90723,                0.53858,                 1.3163,                0.74431,                 1.2644,              0.0010632,              0.0010632,              0.0010632
                     89,                 1.0976,                 0.7201,                 1.0871,                0.96204,                0.86187,                0.90399,                 0.5757,                 1.2904,                0.73034,                 1.2905,              0.0010626,              0.0010626,              0.0010626
                     90,                 1.1071,                0.72488,                 1.0893,                0.88631,                0.82533,                0.87617,                0.55731,                 1.2501,                0.92203,                 1.2633,              0.0010621,              0.0010621,              0.0010621
                     91,                 1.0821,                0.68154,                 1.0805,                0.81576,                0.85136,                0.90157,                0.62145,                 1.1016,                0.79925,                 1.1804,              0.0010615,              0.0010615,              0.0010615
                     92,                 1.1087,                0.70983,                  1.105,                0.84483,                0.85318,                0.91164,                0.60694,                 1.1539,                0.72317,                 1.1968,               0.001061,               0.001061,               0.001061
                     93,                 1.0394,                 0.6477,                 1.0776,                0.85554,                0.87192,                0.88846,                0.57641,                 1.1983,                0.78882,                 1.1994,              0.0010604,              0.0010604,              0.0010604
                     94,                 1.1275,                0.68854,                 1.1271,                0.89023,                0.84419,                0.91062,                0.59082,                 1.2741,                0.78379,                 1.2848,              0.0010599,              0.0010599,              0.0010599
                     95,                 1.0786,                0.67109,                 1.0946,                0.90939,                0.77958,                0.91115,                 0.5818,                 1.2489,                 0.8248,                 1.2586,              0.0010593,              0.0010593,              0.0010593
                     96,                 1.0539,                0.67337,                 1.0836,                0.95229,                0.85512,                0.93974,                0.60808,                 1.1623,                0.72412,                 1.2248,              0.0010588,              0.0010588,              0.0010588
                     97,                 1.0491,                 0.6619,                 1.0877,                0.92856,                0.88075,                0.94154,                0.59699,                 1.2067,                0.74065,                 1.2371,              0.0010582,              0.0010582,              0.0010582
                     98,                 0.9858,                0.62507,                 1.0727,                0.91694,                0.87157,                0.91773,                0.61453,                 1.1973,                0.75285,                 1.2409,              0.0010577,              0.0010577,              0.0010577
                     99,                0.99755,                0.64858,                  1.027,                0.89352,                0.86677,                0.94107,                0.60161,                 1.2159,                0.77906,                 1.2245,              0.0010571,              0.0010571,              0.0010571
                    100,                 1.0352,                0.67303,                  1.075,                  0.927,                0.84157,                0.90105,                  0.599,                 1.1964,                0.76527,                 1.2033,              0.0010566,              0.0010566,              0.0010566
                    101,                 1.0514,                0.68414,                 1.0689,                0.81592,                0.84717,                0.90758,                0.59951,                 1.2036,                 0.9045,                   1.21,               0.001056,               0.001056,               0.001056
                    102,                  1.051,                0.67254,                 1.0658,                0.85179,                 0.8508,                0.90279,                0.57026,                 1.3143,                0.80245,                 1.2459,              0.0010555,              0.0010555,              0.0010555
                    103,                 1.1051,                0.68105,                 1.0959,                0.93993,                0.82397,                0.92024,                0.60232,                 1.1816,                0.75178,                 1.1913,              0.0010549,              0.0010549,              0.0010549
                    104,                 1.0315,                0.65934,                 1.0905,                0.86735,                0.81985,                0.90179,                0.59835,                 1.1051,                0.75219,                 1.1769,              0.0010544,              0.0010544,              0.0010544
                    105,                  1.053,                 0.6315,                 1.0486,                0.91012,                0.84622,                0.92361,                0.59549,                 1.1577,                0.72629,                 1.2129,              0.0010538,              0.0010538,              0.0010538
