                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    115,                0.97311,                 0.6383,                 1.0305,                0.86013,                0.83719,                0.89264,                0.58828,                 1.1623,                0.72051,                 1.1011,             0.00098561,             0.00098561,             0.00098561
                    116,                0.99124,                0.63604,                  1.049,                0.92862,                0.83142,                0.89707,                0.57278,                 1.2045,                0.66186,                 1.1422,             0.00098451,             0.00098451,             0.00098451
                    117,                 1.0126,                 0.6548,                  1.045,                0.92428,                  0.878,                0.91092,                0.58185,                 1.1693,                 0.6377,                 1.1308,             0.00098341,             0.00098341,             0.00098341
                    118,                0.93753,                0.60809,                 1.0429,                0.92153,                0.82663,                0.91138,                0.58206,                 1.1799,                0.69383,                 1.1239,             0.00098231,             0.00098231,             0.00098231
                    119,                0.99172,                0.63829,                 1.0874,                0.88587,                0.86908,                0.90238,                0.60015,                 1.2092,                0.69613,                 1.0888,             0.00098121,             0.00098121,             0.00098121
                    120,                0.99441,                0.62042,                 1.0353,                0.92417,                  0.867,                 0.9097,                0.59438,                 1.2544,                0.67357,                 1.0994,             0.00098011,             0.00098011,             0.00098011
                    121,                0.97954,                0.60528,                 1.0231,                0.88577,                0.88206,                0.91792,                0.59117,                 1.1516,                0.64636,                 1.1197,             0.00097901,             0.00097901,             0.00097901
                    122,                 1.0083,                0.60782,                 1.0466,                0.88233,                 0.8881,                0.92767,                0.59848,                 1.1742,                0.66754,                 1.1108,             0.00097791,             0.00097791,             0.00097791
                    123,                0.95555,                0.58504,                  1.038,                0.90891,                0.87418,                0.90431,                0.58753,                 1.1731,                0.66298,                 1.0906,             0.00097681,             0.00097681,             0.00097681
                    124,                0.94551,                0.59151,                 1.0196,                0.91613,                 0.8917,                0.92835,                0.58452,                 1.2384,                0.62622,                 1.1017,             0.00097571,             0.00097571,             0.00097571
                    125,                0.97094,                0.61381,                 1.0316,                0.93422,                0.84724,                0.90589,                0.57464,                 1.1364,                0.65375,                 1.0947,             0.00097461,             0.00097461,             0.00097461
                    126,                0.95197,                0.62541,                 1.0264,                0.89848,                0.85426,                0.91276,                0.60459,                 1.1657,                0.79464,                 1.0653,             0.00097351,             0.00097351,             0.00097351
                    127,                0.98138,                0.62899,                 1.0187,                0.90218,                0.84238,                0.89819,                0.60311,                 1.1196,                0.70652,                 1.0527,             0.00097241,             0.00097241,             0.00097241
                    128,                 1.0161,                0.62799,                 1.0326,                 0.9047,                 0.9103,                 0.9209,                0.56865,                 1.1193,                0.64141,                 1.0772,             0.00097131,             0.00097131,             0.00097131
                    129,                0.94892,                0.58803,                 1.0292,                0.89847,                0.91456,                0.93818,                0.60471,                 1.1417,                0.68749,                 1.0861,             0.00097021,             0.00097021,             0.00097021
                    130,                 0.9978,                0.59838,                 1.0437,                0.86435,                0.89038,                0.93496,                0.61503,                 1.1276,                 0.6726,                 1.0839,             0.00096911,             0.00096911,             0.00096911
                    131,                 0.9027,                 0.5564,                 1.0227,                 0.8999,                0.85615,                0.92281,                 0.5874,                 1.1581,                 0.6965,                 1.0756,             0.00096801,             0.00096801,             0.00096801
                    132,                0.96306,                0.56773,                 1.0224,                0.89197,                0.86282,                0.91042,                0.56801,                 1.3192,                0.66207,                 1.1085,             0.00096691,             0.00096691,             0.00096691
                    133,                 1.0276,                0.61945,                 1.0333,                0.87561,                0.83604,                0.92265,                0.60878,                 1.1075,                0.64455,                 1.0498,             0.00096581,             0.00096581,             0.00096581
