                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 1.3641,                 1.0726,                 1.2257,                 1.6439,                 1.4726,                 1.1728,                0.72074,                0.63386,                0.72137,                0.40598,                 1.4063,                 1.1913,                 1.2089,                 1.7843,                 1.4485,                 1.1634,              0.0010219,              0.0010219,              0.0010219
                     84,                 1.3671,                 1.0281,                 1.2031,                  1.695,                 1.4292,                 1.1687,                0.74359,                0.55485,                 0.6654,                 0.3896,                 1.3924,                 1.1398,                 1.2529,                 1.7967,                 1.3044,                 1.2239,              0.0010208,              0.0010208,              0.0010208
                     85,                 1.3602,                 1.0538,                 1.2167,                 1.6332,                 1.3855,                  1.157,                0.55701,                0.68911,                0.71644,                0.39723,                 1.3149,                 1.0758,                 1.2068,                 1.7725,                  1.266,                  1.194,              0.0010197,              0.0010197,              0.0010197
                     86,                 1.3222,                0.99787,                 1.1785,                 1.6335,                 1.3579,                 1.1448,                0.66857,                0.64613,                0.75519,                 0.4258,                 1.3097,                 1.0545,                 1.2042,                 1.5846,                 1.2392,                 1.1388,              0.0010186,              0.0010186,              0.0010186
                     87,                 1.3395,                 1.0104,                 1.1935,                 1.6121,                 1.3437,                 1.1303,                0.66143,                0.69985,                0.74692,                0.43658,                 1.3141,                 1.1688,                 1.1923,                 1.4864,                 1.4611,                 1.1238,              0.0010175,              0.0010175,              0.0010175
                     88,                 1.3731,                 1.0427,                 1.2281,                 1.6093,                 1.4036,                 1.1705,                0.70921,                0.68254,                0.74419,                0.42973,                 1.2847,                 1.1255,                 1.1848,                 1.6329,                 1.4181,                 1.1559,              0.0010164,              0.0010164,              0.0010164
                     89,                 1.3342,                 1.0632,                 1.2299,                 1.6332,                 1.3931,                 1.1743,                0.71833,                0.57032,                0.69187,                0.39482,                 1.4764,                 1.1591,                 1.2288,                 1.7583,                 1.5286,                 1.1592,              0.0010153,              0.0010153,              0.0010153
                     90,                 1.3591,                   1.06,                 1.1936,                 1.6488,                 1.4171,                 1.1404,                0.72558,                0.58655,                0.74744,                0.42229,                 1.3396,                 1.1349,                 1.1622,                 1.8574,                 1.3276,                 1.2309,              0.0010142,              0.0010142,              0.0010142
                     91,                 1.3715,                 1.0505,                 1.2325,                 1.5791,                 1.3787,                 1.1857,                0.65375,                0.68647,                0.73097,                0.39454,                 1.4855,                 1.1381,                 1.2191,                 1.7897,                 1.3222,                 1.2085,              0.0010131,              0.0010131,              0.0010131
                     92,                 1.3024,                0.97601,                 1.1778,                 1.6114,                 1.3174,                 1.1486,                 0.6712,                0.73012,                0.78094,                0.45511,                 1.2929,                 1.0223,                 1.1585,                 1.4873,                 1.2049,                 1.1023,               0.001012,               0.001012,               0.001012
                     93,                 1.2817,                0.98324,                  1.177,                 1.6002,                  1.302,                  1.141,                0.56353,                0.70216,                0.68053,                0.42716,                 1.3012,                 1.0381,                 1.1684,                 1.4812,                 1.4455,                 1.1359,              0.0010109,              0.0010109,              0.0010109
