               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.036362,           0.0094758,           0.0039154,             0.91553,             0.88252,             0.92531,             0.51799,            0.033705,           0.0067911,            0.003608,           0.0092377,           0.0092377,           0.0092377
                  79,            0.035854,           0.0090365,           0.0042094,             0.90064,             0.88798,             0.90343,             0.52137,            0.032206,           0.0069592,           0.0036399,           0.0092278,           0.0092278,           0.0092278
                  80,            0.035833,           0.0096028,           0.0042598,             0.91655,             0.90797,             0.92393,             0.48042,            0.031255,           0.0071951,           0.0053365,           0.0092179,           0.0092179,           0.0092179
                  81,            0.036122,           0.0097126,           0.0052924,             0.93096,             0.92936,              0.9425,             0.48635,            0.036015,           0.0066623,           0.0059423,            0.009208,            0.009208,            0.009208
                  82,            0.034931,           0.0091092,           0.0046255,             0.91444,             0.92202,             0.95141,             0.52899,            0.032382,           0.0065723,            0.007242,           0.0091981,           0.0091981,           0.0091981
                  83,            0.034035,            0.009237,           0.0042546,             0.89394,              0.9162,             0.92468,             0.49962,             0.03484,           0.0067398,           0.0083547,           0.0091882,           0.0091882,           0.0091882
                  84,            0.034103,           0.0091169,           0.0042828,             0.95293,             0.88785,             0.94875,             0.57977,            0.032722,           0.0069571,           0.0040531,           0.0091783,           0.0091783,           0.0091783
                  85,            0.032979,           0.0090394,           0.0052937,             0.96911,             0.85519,             0.93433,             0.52528,            0.033395,            0.006879,           0.0041242,           0.0091684,           0.0091684,           0.0091684
                  86,            0.033667,           0.0091644,           0.0051541,             0.94104,             0.87372,             0.92218,             0.55662,            0.031165,           0.0064932,           0.0039735,           0.0091585,           0.0091585,           0.0091585
                  87,            0.033371,            0.008843,           0.0045191,             0.91848,             0.89278,             0.92323,             0.55935,            0.031965,           0.0064642,           0.0038278,           0.0091486,           0.0091486,           0.0091486
                  88,             0.03421,           0.0089848,            0.004093,             0.89919,             0.86221,             0.92014,             0.50345,            0.033572,           0.0066946,           0.0039096,           0.0091387,           0.0091387,           0.0091387
                  89,             0.03571,           0.0089635,           0.0050898,             0.98839,             0.89808,             0.96553,              0.5486,             0.03288,           0.0066867,           0.0041337,           0.0091288,           0.0091288,           0.0091288
                  90,            0.035542,           0.0089205,           0.0043664,             0.93715,             0.92184,              0.9519,             0.52275,            0.032203,           0.0070886,           0.0061519,           0.0091189,           0.0091189,           0.0091189
                  91,            0.031992,           0.0086544,           0.0050929,             0.90593,             0.91697,             0.95677,             0.55356,            0.031697,           0.0067828,           0.0033813,            0.009109,            0.009109,            0.009109
